id,phrase
130,A mensalidade aumentou mais que a inflação.
131,O tele-jornal começa às dez da noite.
132,A cabine do telefone fica na próxima rua.
133,Defender a ecologia é manter a vida.
134,Nesse verão o calor é insuportável.
135,O jardim exige muito trabalho.
136,O pão que eu comprei era ótimo.
137,Meu pai se entenderá com o padre chato amanhã
138,Durante o dia apague a luz.
139,A sociedade uruguaia tem que se mobilizar.
140,Nossas atitudes são calmas.
141,Dezenas de cabos eleitorais buscavam apoio.
142,Nunca uma vitória foi paga com tanto suor.
143,Nosso filho ama os animais.
144,Esse peixe é mais letal que algumas cobras.
145,O time continua lutando pelo sucesso.
146,Essa medida foi devidamente alterada.
147,O estilete é uma arma perigosa.
148,Me aguarde, quinta-feira eu venho jantar em casa.
149,A mudança é lenta porém duradoura.
150,O clima não é mais seco no interior.
151,Sua sensibilidade mostrará o caminho.
152,A Amazônia é a reserva ecológica do globo.
153,O ministério mudou demais com a eleição.
154,Novas metas surgem na informática.
155,O capital de uma empresa depende de produção.
156,Se não fosse ela, tudo teria sido melhor.
157,A principal personagem no filme é uma gueixa.
158,Espere seu amigo em casa.
159,A juventude tinha que revolucionar a escola.
160,A cantora terá quatro meses pra ensaiar seu canto
161,Prazer em conhecê-los.
162,Elas traziam o equipamento.
163,O sol ilumina o planeta.
164,A correção do exame foi coerente.
165,O vidro é antigo mas o armário, não.
166,O natal deve ser um dia alegre.
167,Trabalhei mais do que podia.
168,Hoje eu acordei calmo.
169,Esse canal parece bastante chato.
170,Nem parece que nós nascemos aqui.
171,Receba minha prima na festa.
172,Ela planejou um grande banquete cheio de gente.
173,No lado de cá do rio há uma boa sombra.
174,A maioria dos visitantes gosta deste momento.
175,Minha filha é especialista em música sacra.
176,A casa só tem um quarto.
177,A duração do simpósio é de cinco dias.
178,Ao contrário de nossa expectativa, tudo foi tranquilo
179,A intenção é ter o apoio do governante.
180,A fila aumentou ao longo do dia.
181,À noite, a temperatura deve ir a zero.
182,A proposta foi inspecionada pela gerência.
183,Os quadros azuis mostram o codidiano.
184,Já era tarde, quando ele me abordou.
185,O canário canta ao amanhecer.
186,A lojinha não fica na esquina.
187,Meu bom time se consagrou como o melhor.
188,O instituto deve servir a sua meta.
189,Ele não entende, nem quando se fala pausadamente.
190,Seu limite do cheque azul foi aumentado
191,O termômetro indicava o calor.
192,O discurso de abertura tem que ser longo.
193,Eu precisei de tempo na conferência.
194,Zeca marcou a temporada de jogos.
195,Nada como um almoço ao ar livre.
196,Nossa filha é a primeira da classe.
197,Gostaria de chamar meu pai.
198,Não tive uma prova cansativa.
199,Ainda tenho cinco telefonemas pra dar.
200,Os hotéis do sudoeste são fantásticos.
